rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,Validity
1,T-Series,245000000,2.28E+11,Music,T-Series,20082,India,IN,Music,1
2,YouTube Movies,170000000,0,Film & Animation,youtubemovies,1,United States,US,Games,1
3,MrBeast,166000000,28368841870,Entertainment,MrBeast,741,United States,US,Entertainment,1
4,Cocomelon - Nursery Rhymes,162000000,1.64E+11,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,1
5,SET India,159000000,1.48E+11,Shows,SET India,116536,India,IN,Entertainment,1
6,Music,119000000,0,nan,Music,0,nan,nan,Music,1
7,ýýý Kids Diana Show,112000000,93247040539,People & Blogs,ýýý Kids Diana Show,1111,United States,US,Entertainment,1
8,PewDiePie,111000000,29058044447,Gaming,PewDiePie,4716,Japan,JP,Entertainment,1
9,Like Nastya,106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,1
10,Vlad and Niki,98900000,77180169894,Entertainment,Vlad and Niki,574,United States,US,Entertainment,1
11,Zee Music Company,96700000,57856289381,Music,Zee Music Company,8548,India,IN,Music,1
12,WWE,96000000,77428473662,Sports,WWE,70127,United States,US,Sports,1
13,Gaming,93600000,0,nan,Gaming,0,nan,nan,Games,1
14,BLACKPINK,89800000,32144597566,People & Blogs,BLACKPINK,543,South Korea,KR,Music,1
15,Goldmines,86900000,24118230580,Film & Animation,goldmines,1,nan,nan,Music,1
16,Sony SAB,83000000,1.01E+11,Shows,Sony SAB,71270,India,IN,Entertainment,1
17,5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,1
18,BANGTANTV,75600000,20826993957,Music,BANGTANTV,2281,South Korea,KR,Music,1
19,Sports,75000000,0,nan,sports,3,United States,US,Entertainment,1
20,Justin Bieber,71600000,30608119724,Music,Justin Bieber,249,Canada,CA,Music,1
21,HYBE LABELS,71300000,28634566938,Music,HYBE LABELS,1337,South Korea,KR,Music,1
22,Zee TV,70500000,73139054467,Entertainment,Zee TV,129204,India,IN,Entertainment,1
