Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
15,29,4,Laptop & Accessory,3,Single,2,0,7,143,0
7,25,4,Mobile,1,Married,2,0,7,129,0
27,13,3,Laptop & Accessory,1,Married,5,0,7,169,0
20,25,4,Fashion,3,Divorced,7,0,,230,0
30,15,4,Others,4,Single,8,0,8,322,0
7,16,4,Mobile Phone,2,Divorced,2,0,11,153,0
1,15,6,Mobile Phone,5,Divorced,3,0,2,150,0
1,11,4,Mobile Phone,5,Single,3,0,1,155,1
11,12,4,Mobile Phone,3,Married,2,0,4,137,0
17,7,3,Laptop & Accessory,1,Married,5,1,2,157,0
6,26,6,Fashion,3,Married,5,0,,221,0
16,20,2,Laptop & Accessory,5,Married,7,0,1,180,0
1,7,4,Mobile Phone,3,Divorced,5,0,3,154,1
1,7,5,Fashion,3,Divorced,7,0,,231,1
6,14,3,Laptop & Accessory,5,Married,3,0,2,164,0
10,8,4,Laptop & Accessory,3,Single,8,0,1,193,0
,21,5,Mobile,1,Married,1,1,3,122,0
8,22,4,Fashion,2,Divorced,3,0,6,205,1
19,27,4,Grocery,1,Married,2,1,11,260,0
0,18,1,Mobile,4,Single,2,0,0,127,1
1,33,5,Laptop & Accessory,5,Single,7,0,2,192,1
3,22,3,Laptop & Accessory,3,Married,9,0,2,153,0
30,9,1,Mobile,5,Married,5,1,0,127,0
5,14,3,Fashion,1,Single,2,0,7,190,0
9,12,4,Fashion,4,Single,2,0,14,206,0
18,26,3,Laptop & Accessory,3,Single,9,0,1,148,0
16,17,3,Fashion,3,Married,2,0,9,175,0
0,,1,Mobile,3,Single,4,1,3,124,1
7,6,4,Fashion,5,Married,10,0,6,205,1
1,17,5,Fashion,5,Married,11,0,,228,1
12,6,1,Fashion,1,Married,1,0,7,196,0
30,11,4,Fashion,4,Married,3,1,4,206,0
11,17,2,Fashion,1,Married,3,1,9,262,0
0,,4,Mobile,4,Divorced,6,0,1,125,1
0,,4,Mobile,1,Married,6,0,3,124,1
0,,3,Mobile,5,Married,4,0,0,123,0
24,31,4,Grocery,3,Married,5,1,6,265,0
,6,4,Mobile,5,Married,2,0,2,122,0
0,9,3,Laptop & Accessory,5,Divorced,2,1,3,142,0
1,7,4,Mobile Phone,1,Married,11,1,3,173,1
4,18,3,Mobile Phone,1,Married,9,1,2,139,0
18,7,4,Fashion,3,Married,4,0,4,207,0
15,7,2,Fashion,5,Married,3,0,8,209,0
17,21,4,Grocery,5,Married,8,0,1,297,0
,7,4,Mobile,3,Married,2,0,0,120,0
4,15,4,Fashion,3,Married,7,0,8,198,0
5,9,4,Mobile Phone,1,Married,2,1,3,152,0
11,17,2,Mobile Phone,1,Single,5,0,1,172,0
24,6,4,Fashion,5,Single,4,0,8,175,0
0,6,3,Laptop & Accessory,3,Divorced,2,0,7,153,0
3,6,3,Laptop & Accessory,1,Single,2,0,7,140,0
61,28,4,Grocery,1,Married,6,1,1,304,0
16,9,4,Fashion,1,Married,4,1,,226,0
25,10,3,Grocery,2,Divorced,3,0,4,266,0
9,22,4,Laptop & Accessory,5,Married,5,0,2,156,0
8,8,4,Laptop & Accessory,1,Married,11,0,2,180,0
8,33,5,Mobile Phone,3,Married,3,0,1,145,0
0,,4,Mobile,4,Married,2,0,3,124,0
17,19,5,Grocery,4,Married,3,0,10,268,0
8,26,5,Mobile Phone,1,Married,3,0,8,154,0
3,,3,Mobile,1,Single,1,0,7,126,0
0,8,3,Laptop & Accessory,3,Single,2,1,4,145,0
4,32,3,Mobile,3,Married,2,0,3,129,0
1,10,4,Mobile Phone,5,Married,7,0,3,165,1
1,16,4,Mobile Phone,1,Single,3,0,1,136,1
1,31,6,Mobile Phone,1,Single,3,1,1,148,1
0,16,3,Laptop & Accessory,2,Single,1,0,1,150,0
1,16,3,Laptop & Accessory,3,Single,4,0,7,137,0
13,21,4,Fashion,3,Married,2,0,12,204,0
5,12,4,Laptop & Accessory,3,Married,3,0,3,208,0
1,11,4,Mobile Phone,5,Single,3,0,1,155,1
0,,3,Mobile,3,Married,2,0,3,125,0
15,13,4,Fashion,3,Single,3,0,,217,0
24,14,4,Fashion,4,Divorced,6,0,,225,0
8,16,5,Fashion,4,Single,3,0,,211,0
14,14,3,Laptop & Accessory,4,Married,6,0,4,144,0
5,15,5,Laptop & Accessory,1,Married,1,0,7,147,0
9,11,4,Laptop & Accessory,3,Single,3,1,2,167,0
1,31,4,Mobile Phone,2,Divorced,2,0,2,149,0
0,6,3,Laptop & Accessory,4,Divorced,1,1,4,163,0
7,8,3,Laptop & Accessory,5,Single,1,1,2,145,0
6,12,4,Laptop & Accessory,4,Married,3,0,4,190,0
1,10,4,Mobile Phone,1,Single,3,1,1,141,1
9,18,4,Fashion,2,Single,1,0,8,189,0
8,11,4,Fashion,1,Married,4,1,,222,0
,6,3,Mobile,1,Married,4,0,2,123,0
11,22,3,Laptop & Accessory,4,Single,3,0,2,142,0
4,10,4,Mobile Phone,1,Married,6,0,5,146,0
25,10,4,Grocery,4,Single,5,0,1,262,0
2,19,4,Laptop & Accessory,4,Married,5,1,3,140,0
30,6,3,Fashion,2,Divorced,4,1,,219,0
18,10,5,Fashion,3,Married,5,0,3,198,0
19,32,4,Laptop & Accessory,4,Single,9,0,2,180,0
,15,3,Mobile,1,Married,4,0,3,121,0
8,23,3,Laptop & Accessory,5,Married,4,1,7,190,0
0,30,1,Mobile Phone,5,Single,2,0,0,111,1
8,32,3,Fashion,1,Single,2,1,7,188,0
4,15,2,Fashion,5,Married,2,1,8,239,0
0,35,4,Laptop & Accessory,3,Single,2,0,8,145,1
2,23,4,Fashion,5,Single,2,0,9,180,0
4,8,5,Mobile,1,Married,5,1,0,128,1
19,21,3,Others,4,Married,6,0,3,291,0
19,,3,Mobile,3,Married,9,0,8,123,1
14,7,6,Laptop & Accessory,1,Married,4,1,3,200,0
15,9,4,Grocery,5,Divorced,9,0,9,291,0
5,11,3,Laptop & Accessory,4,Married,2,0,3,165,0
1,14,2,Mobile Phone,5,Single,2,0,8,161,0
8,,3,Mobile,3,Married,2,0,0,124,0
21,11,4,Laptop & Accessory,3,Single,5,0,1,155,0
1,7,5,Mobile Phone,3,Married,8,1,3,153,1
24,12,4,Mobile,3,Single,1,0,7,128,0
14,16,3,Laptop & Accessory,1,Single,8,0,10,162,0
13,,3,Mobile,1,Married,9,0,0,124,0
0,10,3,Laptop & Accessory,3,Divorced,2,1,3,142,0
21,10,4,Grocery,3,Married,11,1,14,263,0
